t [s]	η [m]
0.0	-2.404456
0.125	-2.4479623
0.25	-2.4717565
0.375	-2.4757726
0.5	-2.459557
0.625	-2.4222665
0.75	-2.362858
0.875	-2.2802293
1.0	-2.1735673
1.125	-2.0425248
1.25	-1.887572
1.375	-1.7101113
1.5	-1.5126451
1.625	-1.2987431
1.75	-1.0728642
1.875	-0.8401129
2.0	-0.60578364
2.125	-0.37491578
2.25	-0.15179633
2.375	0.06047297
2.5	0.2603013
2.625	0.447752
2.75	0.6244729
2.875	0.79341537
3.0	0.9583528
3.125	1.12322
3.25	1.2914386
3.375	1.4651985
3.5	1.6448736
3.625	1.8286659
3.75	2.0124922
3.875	2.1901712
4.0	2.3539774
4.125	2.4953651
4.25	2.605916
4.375	2.6783094
4.5	2.707287
4.625	2.690341
4.75	2.6282024
4.875	2.524875
5.0	2.3874004
5.125	2.2251103
5.25	2.0487351
5.375	1.8692487
5.5	1.6967341
5.625	1.5392537
5.75	1.4020584
5.875	1.2870426
6.0	1.192607
6.125	1.1139467
6.25	1.0436256
6.375	0.9724719
6.5	0.89062256
6.625	0.7885814
6.75	0.658191
6.875	0.49342218
7.0	0.29086885
7.125	0.049983293
7.25	-0.22700846
7.375	-0.5354244
7.5	-0.8685908
7.625	-1.2184317
7.75	-1.5760245
7.875	-1.9321115
8.0	-2.27751
8.125	-2.6033492
8.25	-2.9012759
8.375	-3.1634958
8.5	-3.3828752
8.625	-3.552993
8.75	-3.66831
8.875	-3.724381
9.0	-3.718123
9.125	-3.6482267
9.25	-3.5154414
9.375	-3.3228474
9.5	-3.0759783
9.625	-2.7827358
9.75	-2.4531593
9.875	-2.0988166
10.0	-1.7322223
10.125	-1.3659315
10.25	-1.0117317
10.375	-0.67983687
10.5	-0.37822312
10.625	-0.11225035
10.75	0.11549144
10.875	0.30505586
11.0	0.458708
11.125	0.58036995
11.25	0.6748835
11.375	0.7473394
11.5	0.80243355
11.625	0.8440266
11.75	0.8749046
11.875	0.8967621
12.0	0.910398
12.125	0.9160754
12.25	0.91393685
12.375	0.9044114
12.5	0.8885598
12.625	0.8682517
12.75	0.84616685
12.875	0.82561827
13.0	0.81023186
13.125	0.8035084
13.25	0.808432
13.375	0.82706577
13.5	0.8602814
13.625	0.9077051
13.75	0.96778417
13.875	1.0380212
14.0	1.1153909
14.125	1.1966913
14.25	1.279
14.375	1.3599325
14.5	1.4378519
14.625	1.5118592
14.75	1.5816321
